Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Colombia,COL,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,7,7,7,7,7,7,7
Colombia,COL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,39.4836916913458,42.3846056970013,46.9053935998568,47.0541978052352,49.8054213986162,49.567317750776,51.5551729249983
Colombia,COL,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2.7753536292828,2.91526084121936,2.8476727881339,3.12453653608401,4.17978145473376,4.50181155266895,4.24860633329645
Colombia,COL,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,7.45356500898741,2.91067246570759,4.29995665366276,2.73668024270634,5.57634352055987,1.59393080194643,2.71732981331323
Colombia,COL,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,..
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.09826590865887,3.51395347912819,1.9906164936335,1.0022727252119,-0.161953874918439,0.638439615993107,1.31495237842461
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.13399351995672,4.49903000110972,2.95590137527523,2.08738250162794,1.35936086788746,2.56432428277704,3.18685539245533
Colombia,COL,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,4.71253489120669,3.38783974747197,2.09328126386794,1.70566424842539,-2.15402105299148,0.289157468518098,0.196426004886689
Colombia,COL,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,1.50960316867199,2.89016733101251,2.00349589589999,3.22380222268987,-1.81639904471584,1.47525584614625,1.2043614253559
Colombia,COL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,6.3475825825242,5.48915150545814,3.9254964242859,2.7011527110989,0.987181582413015,2.23305253126154,3.479213773339
Colombia,COL,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,5.29989929772073,4.49474144757841,2.95112089869252,1.60951903291897,-0.5285470770838,0.313388265101693,1.60200711348757
Argentina,ARG,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,8,8,8,8,8,8,8
Argentina,ARG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,15.7290920133564,13.8237692455151,14.4142330417064,13.6676334273514,15.9584973420583,..,..
Argentina,ARG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,1.53372870982538,1.79255873857878,1.57420132816491,1.70027750562075,1.73479928371252,2.95778551361675,5.7029147138395
Argentina,ARG,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,11.4766196176651,3.10425319146779,7.54196172215384,-4.71694335251273,3.44506458176149,-14.5815222472444,21.4353935711251
Argentina,ARG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,..
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.26568517537076,-3.57858050983289,1.62966427946263,-3.11006389821465,1.75764818265694,-3.60160975657155,-2.96956249866219
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785
Argentina,ARG,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,0.551194177258154,-3.46203501608358,1.38980831410751,-5.82515874143607,2.3028329031401,-3.04931518944642,-4.7407553055391
Argentina,ARG,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,1.50353167175462,-5.05404738502804,0.765932390755125,-5.60113973937672,2.57407049038565,-4.80492254451184,-6.15655048987678
Argentina,ARG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.10308369563433,-3.40009167257504,5.13244184925927,-2.0944685133817,5.69869384130808,-5.60440985989817,-4.23802050263347
Argentina,ARG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.966808630859191,-4.45635284809352,4.0051994728682,-3.12405586269082,4.60812197972544,-6.55843441164376,-5.18460813319408
Peru,PER,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,8,8,8,8,8,8,8
Peru,PER,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,37.7199291764532,40.8996268175973,43.8679314540477,42.8090253456419,42.4146143080756,43.9039424432995,44.7242368945336
Peru,PER,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2.52532864724647,2.86635234019297,2.82627141447332,3.03691673128785,3.26099813127162,3.27104963481759,3.36599445858728
Peru,PER,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,2.605850504421,-1.08951484321615,3.95317597390137,1.73896990954402,2.96850050805632,9.63205751744556,1.49805510013823
Peru,PER,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,..
Peru,PER,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.83334779976734,1.31920125652192,2.04895673228597,2.54786708172743,0.985513944113038,2.03724979302511,0.306641968886368
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.85251821084928,2.38215737180541,3.25224477218451,3.95331871520767,2.51883544233135,3.969351341365,2.24063176875049
